"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"NEP","Nextera Energy...","2,354","bmo","0.37","0.91","+0.54","+145.95%","-2.16%",""
"LCNB","Lcnb Corporatio...","214","--","0.29","0.37","+0.08","+27.59%","--",""
"GLOP","Gaslog Partners...","935","bmo","0.52","0.62","+0.10","+19.23%","4.71%",""
"BEN","Franklin Resour...","24,957","bmo","0.68","0.77","+0.09","+13.24%","-1.10%",""
"MOG.A","Moog Inc.","3,157","bmo","0.77","0.84","+0.07","+9.09%","3.71%",""
"CIVB","Civista Bancsha...","233","--","0.31","0.33","+0.02","+6.45%","--",""
"BSMX","Grupo Financier...","6,166","--","0.16","0.17","+0.01","+6.25%","--",""
"POL","Polyone Corpora...","3,399","bmo","0.36","0.38","+0.02","+5.56%","4.66%",""
"GD","General Dynamic...","63,917","bmo","2.54","2.62","+0.08","+3.15%","4.42%",""
"PEBO","Peoples Bancorp...","620","bmo","0.40","0.41","+0.01","+2.50%","0.09%",""
"AAL","American Airlin...","25,090","bmo","0.92","0.92","0.00","0.00%","-5.32%",""
"ABBV","Abbvie Inc.","145,126","bmo","1.20","1.20","0.00","0.00%","-2.07%",""
"BDGE","Bridge Bancorp,...","687","--","0.50","0.50","0.00","0.00%","--",""
"CL","Colgate-palmoli...","66,724","bmo","0.75","0.75","0.00","0.00%","-5.22%",""
"HON","Honeywell Inter...","109,332","bmo","1.74","1.74","0.00","0.00%","0.38%",""
"SSB","South State Cor...","2,704","bmo","1.15","1.15","0.00","0.00%","0.16%",""
"APD","Air Products An...","33,395","bmo","1.48","1.47","-0.01","-0.68%","-4.57%",""
"HRC","Hill-rom Holdin...","5,137","bmo","0.76","0.75","-0.01","-1.32%","-0.37%",""
"GNTX","Gentex Corporat...","5,771","bmo","0.32","0.31","-0.01","-3.13%","-1.99%",""
"PFS","Provident Finan...","1,839","bmo","0.37","0.35","-0.02","-5.41%","-0.22%",""
"NEE","Nextera Energy,...","71,098","bmo","1.29","1.21","-0.08","-6.20%","2.21%",""
"CFFN","Capitol Federal...","2,062","bmo","0.16","0.15","-0.01","-6.25%","-1.71%",""
"SONA","Southern Nation...","403","--","0.23","0.21","-0.02","-8.70%","--",""
"SBSI","Southside Bancs...","1,082","bmo","0.48","0.42","-0.06","-12.50%","-6.44%",""
"SLCT","Select Bancorp,...","137","--","0.16","0.14","-0.02","-12.50%","--",""
"BT","Bt Group Plc","36,496","bmo","0.49","0.42","-0.07","-14.29%","0.41%",""
"CCNE","Cnb Financial C...","432","--","0.41","0.35","-0.06","-14.63%","--",""
"PROV","Provident Finan...","152","bmo","0.24","0.18","-0.06","-25.00%","2.30%",""
"ACBI","Atlantic Capita...","475","bmo","0.16","0.09","-0.07","-43.75%","-1.50%",""
"CVX","Chevron Corpora...","227,647","bmo","0.63","0.22","-0.41","-65.08%","-2.37%",""
