"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"AIMC","Altra Industria...","1,439","bmo","0.46","--","6.52%","--",""
"MAN","Manpowergroup","8,058","bmo","1.96","--","2.04%","--",""
"CFG","Citizens Financ...","18,365","bmo","0.64","--","1.56%","--",""
"PG","Procter & Gambl...","236,465","bmo","1.07","--","0.93%","--",""
"SYF","Synchrony Finan...","24,639","bmo","0.64","--","-1.56%","--",""
"SLB","Schlumberger N....","92,400","bmo","0.42","--","-2.38%","--",""
"CLF","Cliffs Natural...","2,129","bmo","0.30","--","-3.33%","--",""
"GE","General Electri...","200,778","bmo","0.50","--","-4.00%","--",""
"ERIC","Ericsson","19,671","bmo","0.01","--","-300.00%","--",""
"ACU","Acme United Cor...","85","bmo","0.52","--","NA","--",""
"ASAZY","Assa Abloy Ab","22,937","--","0.12","--","NA","--",""
"BCBP","Bcb Bancorp, In...","214","--","0.22","--","NA","--",""
"BHGE","Baker Hughes In...","14,463","bmo","0.12","--","NA","--",""
"BOCH","Bank Of Commerc...","183","--","0.16","--","NA","--",""
"DST","Dst Systems, In...","3,307","bmo","0.73","--","NA","--",""
"EEFT","Euronet Worldwi...","5,063","bmo","1.60","--","NA","--",""
"FBMS","The First Bancs...","279","--","0.46","--","NA","--",""
"FCCY","1st Constitutio...","145","--","0.31","--","NA","--",""
"GNTX","Gentex Corporat...","5,808","bmo","0.31","--","NA","--",""
"HON","Honeywell Inter...","109,088","bmo","1.74","--","NA","--",""
"KSU","Kansas City Sou...","10,697","bmo","1.32","--","NA","--",""
"MINI","Mobile Mini, In...","1,496","bmo","0.33","--","NA","--",""
"OFG","Ofg Bancorp","365","bmo","0.26","--","NA","--",""
"RBCAA","Republic Bancor...","857","bmo","0.46","--","NA","--",""
"STI","Suntrust Banks,...","28,499","bmo","1.06","--","NA","--",""
"VLVLY","Volvo Ab","38,039","bmo","0.27","--","NA","--",""
